Blünken, blyoon-ken, 見つめる, 動詞|観察  
Kräven, kreh-ven, 欲しがる, 動詞|欲求  
Sproffen, shpro-fen, 跳ねる, 動詞|運動  
Glauben, glao-ben, 信じる, 動詞|思考  
Wurcken, vur-ken, 働く, 動詞|仕事  
Fräugen, froi-gen, 質問する, 動詞|会話  
Schüpfen, shuup-fen, つかむ, 動詞|操作  
Treiben, trai-ben, 進める, 動詞|行動  
Lösen, loe-zen, 解く, 動詞|知識  
Raffen, ra-fen, 集める, 動詞|収集  
Brägen, bray-gen, 考える, 動詞|思考

Schirken, shir-ken, 避ける, 動詞|安全  
Strolken, shtrol-ken, 歩き回る, 動詞|移動  
Klüften, klüf-ten, 割る, 動詞|破壊  
Häufen, hoy-fen, 積む, 動詞|整理  
Zirchen, tsir-ken, 飾る, 動詞|装飾  
Brenken, bren-ken, 焦がす, 動詞|火  
Wunfen, voon-fen, 笑う, 動詞|感情  
Spächten, shpekh-ten, 覗く, 動詞|観察  
Mülden, mül-den, 柔らかくする, 動詞|性質  
Grollen, grol-len, 怒る, 動詞|感情  

Vlüken, vloo-ken, 翻す, 動詞|操作  
Driften, drif-ten, 漂う, 動詞|移動  
Grätschen, grech-en, 跨ぐ, 動詞|運動  
Häufen, hoy-fen, ためる, 動詞|整理  
Blösen, bloe-zen, 明らかにする, 動詞|情報  
Krüken, krü-ken, 曲げる, 動詞|操作  
Walsen, val-sen, 転がる, 動詞|運動  
Schräfen, shref-en, 研ぐ, 動詞|工具  
Pfügen, pfyoo-gen, 合わせる, 動詞|結合  
Schnöfen, shnoe-fen, 匂いを嗅ぐ, 動詞|感覚  

Bröden, broe-den, 焼く, 動詞|料理  
Dralfen, dral-fen, だらける, 動詞|態度  
Wergen, ver-gen, 捨てる, 動詞|整理  
Staufen, staoo-fen, 登る, 動詞|移動  
Plücken, plük-ken, 摘む, 動詞|収穫  
Gründen, grün-den, 設立する, 動詞|組織  
Forgen, for-gen, 形作る, 動詞|創造  
Slinken, slin-ken, 忍び寄る, 動詞|隠密  
Bräufen, brao-fen, 息をする, 動詞|生命  
Trucken, tru-ken, 押す, 動詞|操作  

Vräken, vrae-ken, 取り除く, 動詞|掃除  
Wunken, voon-ken, 手を振る, 動詞|挨拶  
Schwenken, shven-ken, 振る, 動詞|動作  
Hulpen, hul-pen, 助ける, 動詞|援助  
Zinken, tsin-ken, 示す, 動詞|説明  
Morgen, mor-gen, 始める, 動詞|行動  
Blüken, blü-ken, 鳴く, 動詞|音  
Träuben, traoy-ben, 集まる, 動詞|集合  
Flicken, fli-ken, 修理する, 動詞|修復  
Drücken, drük-ken, 押し付ける, 動詞|操作  

Schleufen, shloy-fen, 研磨する, 動詞|工具  
Frunken, frun-ken, 閃く, 動詞|発見  
Glaufen, glau-fen, 滑る, 動詞|運動  
Kräuken, kroy-ken, 叫ぶ, 動詞|発声  
Wralfen, vral-fen, 転げ回る, 動詞|運動  
Blaufen, blau-fen, 叫ぶ, 動詞|音声  
Schlinken, shlin-ken, すり抜ける, 動詞|隠密  
Brägen, bray-gen, 熟考する, 動詞|思考  
Taffen, ta-fen, 叩く, 動詞|攻撃  
Grufen, groo-fen, 呼び出す, 動詞|通信  
Würken, vur-ken, 作用する, 動詞|効果  
Spüren, shpyoo-ren, 感じる, 動詞|感覚  
Brüten, brü-ten, 孵化する, 動詞|生命  
Zaufen, tsau-fen, 飲む, 動詞|食事  
Klinken, klin-ken, 鳴らす, 動詞|音声  
Frägen, fray-gen, 質問する, 動詞|会話  
Schürfen, shür-fen, 掘る, 動詞|採掘  
Welden, vel-den, 枯れる, 動詞|自然  
Trälfen, trail-fen, 滴る, 動詞|液体  
Blanken, blan-ken, 磨く, 動詞|清掃  
Grunken, grun-ken, うなる, 動詞|動物  
Krüpfen, krüp-fen, 縮める, 動詞|変形  
Staufen, staoo-fen, 積み上げる, 動詞|整理  
Pfüschen, pfü-shen, 台無しにする, 動詞|失敗  

Wrollen, vro-len, 転がす, 動詞|操作  
Schlinken, shlin-ken, 細くする, 動詞|形状  
Hräufen, hrao-fen, 高める, 動詞|増加  
Fräufen, frao-fen, 冷やす, 動詞|温度  
Drucken, drük-ken, 印刷する, 動詞|作業  
Sproffen, shpro-fen, 弾ける, 動詞|動作  
Kläufen, klao-fen, 狩る, 動詞|狩猟  
Wäufen, wao-fen, 包む, 動詞|包装  
Trefken, tref-ken, 当たる, 動詞|衝突  
Gräufen, grao-fen, 掘り起こす, 動詞|採掘  

Schwanken, shvan-ken, 揺れる, 動詞|運動  
Bräufen, brao-fen, 呼吸する, 動詞|生命  
Flogen, flo-gen, 飛ぶ, 動詞|移動  
Schaufen, shaoo-fen, 見せる, 動詞|展示  
Hreufen, hroy-fen, 集め直す, 動詞|整理  
Gräten, gre-ten, 骨抜きする, 動詞|処理  
Kräufen, kroy-fen, 叫び出す, 動詞|音声  
Bläufen, blao-fen, 吠える, 動詞|動物  
Taufen, tau-fen, 名付ける, 動詞|命名  
Schmücken, shmük-ken, 飾り付ける, 動詞|装飾  

Drälfen, dräl-fen, だらだらする, 動詞|態度  
Fräuken, frao-ken, 挨拶する, 動詞|社交  
Wunken, voon-ken, 手を振る, 動詞|挨拶  
Grüken, grü-ken, 緑化する, 動詞|自然  
Sprüfen, shprü-fen, 検査する, 動詞|確認  
Blinken, blin-ken, 点滅する, 動詞|光  
Schlufen, shloo-fen, 眠る, 動詞|生理  
Kranken, kran-ken, 病む, 動詞|健康  
Pflegen, pfle-gen, 世話する, 動詞|援助  
Schräfen, shref-en, 研ぎ澄ます, 動詞|工具  

Frinken, frin-ken, 飲み込む, 動詞|食事  
Wreifen, vrai-fen, 投げる, 動詞|運動  
Strolken, shtrol-ken, ぶらつく, 動詞|移動  
Schlücken, shlück-ken, 飲み込む, 動詞|生理  
Brolfen, brol-fen, うなる, 動詞|感情  
Glüten, glü-ten, 貼り付ける, 動詞|結合  
Vräufen, vrao-fen, 押し出す, 動詞|操作  
Drelfen, drel-fen, 回す, 動詞|動作  
Hläufen, hlao-fen, 拾う, 動詞|収集  
Fräufen, frao-fen, まとめる, 動詞|整理  
4693
